region,year,milk_production_tons,cows_heads,fodder_sown_area_ha,land_total_ha,cows_dairy_buffaloes_stock_heads,TE,yield_combined,EF_combined,CH4_intensity,yield_cattle_only,EF_cattle_only,CH4_intensity_cattle_only
Absheron district,2005,25201.0,10120.0,1128.0,25237.0,10120.0,0.8557953040546543,2490.217391304348,99.17080745341615,0.039824156637775145,2490.217391304348,99.17080745341615,0.039824156637775145
Absheron district,2008,30846.0,10481.0,796.0,25237.0,10481.0,0.8811278184312924,2943.039786279935,101.05064236319966,0.03433546594724423,2943.039786279935,101.05064236319966,0.03433546594724423
Absheron district,2009,32280.0,10535.0,521.0,23518.0,10535.0,0.8842668225592066,3064.0721404841006,101.68211551556922,0.033185287700016164,3064.0721404841006,101.68211551556922,0.033185287700016164
Absheron district,2010,32931.0,11740.0,522.0,22421.0,11740.0,0.8705142093711725,2805.0255536626914,100.33056810606621,0.03576814762883657,2805.0255536626914,100.33056810606621,0.03576814762883657
Absheron district,2011,40807.0,11972.0,338.0,22759.6,11972.0,0.8957436030095265,3408.5365853658536,103.47932131495227,0.030358870654118377,3408.5365853658536,103.47932131495227,0.030358870654118377
Absheron district,2012,40800.0,12201.0,351.0,22413.0,12201.0,0.8938273433010554,3343.988197688714,103.1425471183759,0.030844171994884914,3343.988197688714,103.1425471183759,0.030844171994884914
Absheron district,2013,40955.0,12133.0,382.0,22053.0,12133.0,0.8959987460822558,3375.504821561032,103.30698167770973,0.030604898271167184,3375.504821561032,103.30698167770973,0.030604898271167184
Absheron district,2014,40637.0,12153.0,463.0,21864.71,12153.0,0.8964268854432829,3343.7834279601743,103.14147875457482,0.030845741351584712,3343.7834279601743,103.14147875457482,0.030845741351584712
Absheron district,2015,42861.0,13398.0,101.0,21869.74,13398.0,0.8773622366361653,3199.0595611285266,102.3863977102358,0.03200515518820698,3199.0595611285266,102.3863977102358,0.03200515518820698
Absheron district,2016,49389.0,13461.0,114.0,2474.54,13461.0,0.9223209383338938,3669.0439046133274,104.83848993711301,0.0285737899743562,3669.0439046133274,104.83848993711301,0.0285737899743562
Absheron district,2017,48986.0,13357.0,247.0,2046.04,13357.0,0.9258115762956032,3667.4402934790746,104.8301232703256,0.028584002705298227,3667.4402934790746,104.8301232703256,0.028584002705298227
Absheron district,2018,52426.0,13149.0,167.0,2824.54,13149.0,0.9289137360425012,3987.071260171876,106.49776309654892,0.026710774939085982,3987.071260171876,106.49776309654892,0.026710774939085982
Absheron district,2019,49501.0,13184.0,135.0,2826.0,13184.0,0.9237460110089624,3754.6268203883496,105.28500949767835,0.028041404521472118,3754.6268203883496,105.28500949767835,0.028041404521472118
Absheron district,2020,49719.0,13155.0,187.3,140.0,13155.0,0.9345342493517144,3779.4754846066135,105.41465470229538,0.027891345011136503,3779.4754846066135,105.41465470229538,0.027891345011136503
Absheron district,2021,50370.0,13151.0,298.3,3081.0,13151.0,0.9272704491373444,3830.1269865409477,105.67892340803972,0.02759149338374291,3830.1269865409477,105.67892340803972,0.02759149338374291
Absheron district,2022,51186.0,14030.0,159.8,3220.0,14030.0,0.9213943811550116,3648.325017818959,104.73039139731631,0.028706431276215135,3648.325017818959,104.73039139731631,0.028706431276215135
Absheron district,2023,54440.0,11296.0,179.1,4151.0,11296.0,0.9384941290794756,4819.405099150142,110.84037443034856,0.022998766891352263,4819.405099150142,110.84037443034856,0.022998766891352263
Absheron district,2024,41695.0,11486.0,165.1,4481.0,11486.0,0.917662883917565,3630.071391258924,104.63515508482917,0.02882454470090773,3630.071391258924,104.63515508482917,0.02882454470090773
Agdash district,2005,26912.0,19123.0,11802.0,9716.0,29979.0,0.738493078377299,897.6950532039094,58.322692551452676,0.0649693816884661,1407.3105684254563,64.76414091233941,0.046019792905271494
Agdash district,2008,30285.0,22492.0,11035.0,7651.0,33746.0,0.7240085711644937,897.439696556629,58.35844248207194,0.06502770348357272,1346.4787479992885,63.95304997332385,0.047496516427274225
Agdash district,2009,32417.0,22828.0,12690.0,15111.0,34312.0,0.724588878911271,944.7715085101422,58.5969534468019,0.06202235452591747,1420.0543192570528,64.93405759009404,0.045726460396294126
Agdash district,2010,33297.0,23056.0,13728.0,7695.0,34629.0,0.7496968920656315,961.5351295157238,58.82046839354298,0.061173499114034295,1444.179389312977,65.2557251908397,0.04518533201189296
Agdash district,2011,34323.0,23541.0,12718.0,7792.84,35179.0,0.751867575697284,975.6673015151084,59.00889735353478,0.0604805523992658,1458.00943035555,65.440125738074,0.044883197855665295
